Grand Finals Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
41,Reyzak,Bigetron by Vitality,12,10,204,"2,457",9,12,1,0.83,170,"13,658","2,894","2,108",12,22,11,1,0,"108,105","15,048","123,153"
42,Topz,Team Flash,12,10,189,"2,277",6,14,3,0.83,288,"15,849","3,559","1,665",11,8,12,1,2,"103,661","19,513","123,174"
43,EFFECT,TT Project,12,9,251,"3,012",8,13,2,0.75,91,"14,426","2,626","1,143",11,33,23,1,2,"102,981","16,091","119,072"
44,EZ4BADBOY,Geekay Esports,12,9,208,"2,498",5,12,2,0.75,265,"13,519","3,307","1,755",11,10,12,0,1,"81,293","18,462","99,755"
45,SAFG,Geekay Esports,12,9,185,"2,226",4,10,1,0.75,276,"14,183","2,535","1,399",11,17,19,1,0,"76,456","18,936","95,392"
46,EFFYIS,TT Project,12,9,180,"2,163",6,10,4,0.75,287,"14,423","2,211",923,11,23,12,1,0,"79,646","19,756","99,402"
47,Sanju,BOOM Esports,12,9,175,"2,108",3,12,2,0.75,275,"15,132","2,217","1,032",12,28,9,1,1,"85,815","19,942","105,757"
48,Solkay,S2G Esports,12,9,174,"2,093",4,8,0,0.75,121,"13,779","2,278","1,413",11,11,12,0,0,"93,121","16,529","109,650"
49,Mani4c,Gaming Star Esports,12,9,161,"1,936",6,7,2,0.75,174,"12,918","2,750","1,022",12,27,18,3,2,"63,199","19,001","82,200"
50,JooBrenky,Team Pandum,12,9,157,"1,891",5,7,3,0.75,119,"12,945","2,884","1,179",12,17,10,2,0,"87,386","12,551","99,937"
51,Zyol,Aurora Gaming,12,8,239,"2,876",7,13,4,0.67,173,"13,236","3,169","1,592",11,28,33,2,1,"84,915","18,454","103,369"
52,KEVIN,Geekay Esports,12,8,155,"1,867",3,8,2,0.67,258,"14,897","3,182","2,140",11,27,20,0,1,"83,396","21,806","105,202"
53,AYATO,GOAT Team,12,7,227,"2,729",10,8,3,0.58,80,"14,457","3,045","2,096",12,24,17,0,0,"108,333","16,869","125,202"
54,Lost,S2G Esports,12,7,132,"1,588",10,3,2,0.58,181,"14,749","3,488","2,010",11,45,20,0,2,"100,043","19,296","119,339"
55,FEDERALES,Bigetron by Vitality,12,6,232,"2,788",13,12,1,0.5,82,"14,049","3,553","2,406",12,25,17,0,0,"118,912","15,437","134,349"
56,Soulless,ULF Esports,12,6,187,"2,250",14,8,1,0.5,129,"13,642","2,830","1,140",11,17,15,2,0,"86,751","17,669","104,420"
57,MOXXXYY,GOAT Team,12,6,151,"1,821",9,5,1,0.5,131,"14,534","2,606","2,148",12,39,14,0,0,"118,320","16,908","135,228"
58,Yuseph,Gaming Star Esports,12,5,257,"3,084",8,4,2,0.42,269,"13,122","2,870","1,347",12,17,12,0,0,"47,320","21,153","68,473"
59,RAGNARoK,Geekay Esports,12,4,192,"2,305",8,6,1,0.33,301,"12,647","2,948","1,953",11,20,28,0,0,"72,410","18,216","90,626"
60,LeonDZ,Team Pandum,12,4,109,"1,309",3,6,1,0.33,101,"10,346","3,100","1,219",12,9,7,0,0,"55,209","14,228","69,437"
61,JiGGL3,Horaa Esports,12,4,83,997,5,3,1,0.33,179,"11,770","2,471",776,12,16,3,0,0,"84,787","15,326","100,113"
62,ALEKO,721 Esports,12,3,99,"1,194",6,6,0,0.25,220,"10,257","3,439","1,113",12,19,8,0,0,"46,691","17,922","64,613"
63,Frenzzy,Team Pandum,12,3,80,967,1,4,1,0.25,49,"13,134","2,987","1,629",12,15,3,0,1,"90,109","15,165","105,274"
64,Dimzy,Team Pandum,12,1,75,905,0,4,0,0.08,4,"11,556","2,383",820,12,17,6,0,0,"53,916","15,711","69,627"
