Survival Stage Statistics,,,,,,,,,,,,,,,,,,,
#,Team,"Total
Points","Survival
Time","Damage
Received","Healing
Done","Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","Max Elim
Range","Smokes
Used","Grenades
Used","Grenade
Elims","Teammates
Rescued","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,Team Flash,69,"33,040","4,920","2,507","1,531","9,188",25,39,8,366,72,57,6,6,1,"146,720","42,286","189,006"
2,GOAT Team,60,"33,436","5,868","2,695","1,315","7,891",28,34,7,351,88,58,2,5,0,"179,540","43,177","222,717"
3,4Thrives Esports,57,"29,125","6,485","2,673","1,252","7,517",20,39,9,378,80,44,6,6,3,"170,036","37,992","208,028"
4,721 Esports,45,"27,941","6,106","1,981",799,"4,796",11,20,1,251,42,18,2,8,0,"124,600","36,250","160,850"
5,AlUla Club Esports,44,"30,202","6,328","3,143","1,014","6,084",24,32,7,173,56,22,3,5,1,"213,308","34,765","248,073"
6,Nigma Galaxy,40,"28,441","6,124","3,104","1,190","7,141",21,38,6,331,43,49,4,6,0,"125,137","38,361","163,498"
7,FUT Esports,40,"25,761","4,993","1,307","1,034","6,209",21,25,2,316,34,17,1,6,2,"142,512","33,228","175,740"
8,Loops Esports,39,"33,228","5,475","2,364","1,119","6,717",23,26,6,323,78,46,2,5,0,"198,477","36,115","234,592"
9,Wolves Esports,36,"27,949","6,048","3,658","1,021","6,127",20,31,4,242,44,27,2,7,0,"118,621","39,449","158,070"
10,The Vicious,31,"29,988","5,252","2,522",957,"5,742",17,24,5,306,51,12,0,10,2,"200,302","34,282","234,584"
11,IDA Esports,29,"29,588","6,168","2,439",992,"5,957",5,25,6,313,41,41,3,7,0,"198,258","35,909","234,167"
12,VOIN Esports,24,"29,516","5,467","3,016",671,"4,028",8,14,1,154,28,22,0,8,4,"191,303","33,524","224,827"
13,XForce Rejects,21,"26,122","5,241","1,790",461,"2,767",3,10,3,119,30,15,1,4,0,"97,586","33,636","131,222"
14,Boars Gaming,19,"26,651","5,172","1,923",582,"3,494",6,11,3,286,42,35,1,5,0,"78,928","41,541","120,469"
15,Trained to Kill,18,"23,076","5,736","2,299",585,"3,514",6,15,4,196,54,13,1,2,0,"159,481","30,714","190,195"
16,R8 Esports,12,"25,299","4,837","2,132",564,"3,386",9,15,2,235,49,29,0,2,0,"212,059","28,781","240,840"
