Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
29.0,LeonDZ,Team Pandum,6.0,6.0,250.0,1502.0,7.0,6.0,1.0,1.0,120.0,4618.0,1078.0,879.0,5.0,6.0,8.0,2.0,0.0,38348.0,5154.0,43502.0,Group A
30.0,T24OP,4Thrives Esports,6.0,6.0,248.0,1489.0,2.0,2.0,0.0,1.0,123.0,4132.0,986.0,179.0,6.0,3.0,0.0,0.0,0.0,29270.0,4520.0,33790.0,Group A
31.0,Dimzy,Team Pandum,6.0,6.0,247.0,1482.0,3.0,7.0,1.0,1.0,107.0,4847.0,862.0,826.0,5.0,9.0,3.0,0.0,0.0,24735.0,6343.0,31078.0,Group A
32.0,Zhius,Team Flash,6.0,6.0,201.0,1211.0,1.0,3.0,2.0,1.0,197.0,3482.0,1083.0,965.0,6.0,11.0,9.0,0.0,0.0,23531.0,4551.0,28082.0,Group A
33.0,win,Team Plash,6.0,6.0,187.0,1126.0,0.0,6.0,0.0,1.0,64.0,3125.0,1087.0,968.0,6.0,9.0,6.0,2.0,0.0,21939.0,3965.0,25904.0,Group A
34.0,JiGGL3,Horaa Esports,6.0,6.0,186.0,1119.0,3.0,3.0,1.0,1.0,281.0,5864.0,1042.0,827.0,5.0,16.0,4.0,0.0,0.0,39018.0,7301.0,46319.0,Group A
35.0,HamsiG,S2G Esports,6.0,5.0,223.0,1340.0,3.0,3.0,0.0,0.83,247.0,3998.0,661.0,109.0,4.0,1.0,5.0,0.0,0.0,21081.0,4768.0,25849.0,Group A
36.0,Kamikaze,S2G Esports,6.0,5.0,173.0,1039.0,1.0,4.0,2.0,0.83,241.0,3979.0,1041.0,335.0,4.0,3.0,0.0,0.0,2.0,10268.0,5349.0,15617.0,Group A
37.0,Apkrino,ETSH Esports,6.0,5.0,168.0,1012.0,0.0,1.0,0.0,0.83,430.0,4691.0,900.0,429.0,6.0,7.0,2.0,1.0,0.0,27704.0,6479.0,34183.0,Group A
38.0,Rita,IDA Esports,6.0,5.0,149.0,898.0,6.0,3.0,1.0,0.83,195.0,5250.0,890.0,682.0,6.0,7.0,2.0,1.0,1.0,30706.0,6650.0,37356.0,Group A
