Group Stage: Group A Statistics,,,,,,,,,,,,,,,,,,,
#,Team,"Total
Points","Survival
Time","Damage
Received","Healing
Done","Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","Max Elim
Range","Smokes
Used","Grenades
Used","Grenade
Elims","Teammates
Rescued","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,Horaa Esports,75,"22,544","4,422","3,157","1,721","10,327",20,33,10,379,54,46,5,9,1,"112,874","30,879","143,753"
2,eArena,48,"19,192","4,398","3,204",906,"5,436",10,14,3,367,76,27,3,8,2,"107,138","25,841","132,979"
3,Team Pandum,46,"21,053","3,570","3,094","1,075","6,455",19,22,4,129,43,27,6,4,0,"131,265","27,101","158,366"
4,S2G Esports,44,"15,865","3,370",857,785,"4,713",11,11,2,254,12,19,4,4,3,"64,187","21,046","85,233"
5,Aurora Gaming,42,"19,646","5,028","3,526","1,255","7,531",13,31,5,355,44,54,4,9,0,"98,609","27,482","126,091"
6,FURIA,41,"17,434","4,957","1,993","1,153","6,920",12,23,4,335,32,18,4,7,0,"75,254","25,730","100,984"
7,Boars Gaming,40,"22,021","3,937","3,198","1,193","7,161",10,23,3,203,52,36,2,6,3,"100,170","24,737","124,907"
8,IDA Esports,39,"20,467","4,151","2,108","1,244","7,468",20,27,6,222,46,29,7,5,1,"96,500","24,645","121,145"
9,VOIN Esports,35,"19,963","3,996","3,451",918,"5,513",2,14,5,303,35,10,0,8,0,"124,277","23,039","147,316"
10,4Thrives Esports,32,"16,948","4,037","1,143","1,027","6,167",7,18,2,236,24,12,4,2,0,"117,885","21,251","139,136"
11,GOAT Team,30,"19,692","3,471","1,220",889,"5,336",9,16,4,334,50,32,1,4,0,"87,794","26,347","114,141"
12,AlUla Club Esports,28,"17,260","4,310","2,241",773,"4,639",6,14,3,322,47,18,3,7,1,"64,094","22,716","86,810"
13,721 Esports,25,"17,786","3,733","1,137",744,"4,464",4,11,3,236,25,12,1,4,0,"85,299","21,949","107,248"
14,Team Flash,21,"13,997","3,707","3,390",715,"4,291",5,14,3,272,45,25,2,1,0,"101,018","16,436","117,454"
15,Alpha7 Esports,19,"16,802","3,146","2,413",626,"3,756",10,16,4,302,20,14,0,2,1,"104,857","23,119","127,976"
16,ETSH Esports,15,"18,150","3,450","1,138",519,"3,115",5,5,0,430,27,9,3,7,0,"111,750","22,163","133,913"
