Rank,Team,Total Points,Survival Time,Damage Received,Healing Done,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,Max Elim Range,Smokes Used,Grenades Used,Grenade Elims,Teammates Rescued,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
1.0,Team Flash,69.0,33040.0,4920.0,2507.0,1531.0,9188.0,25.0,39.0,8.0,366.0,72.0,57.0,6.0,6.0,1.0,146720.0,42286.0,189006.0,Survival Stage
2.0,GOAT Team,60.0,33436.0,5868.0,2695.0,1315.0,7891.0,28.0,34.0,7.0,351.0,88.0,58.0,2.0,5.0,0.0,179540.0,43177.0,222717.0,Survival Stage
3.0,4Thrives Esports,57.0,29125.0,6485.0,2673.0,1252.0,7517.0,20.0,39.0,9.0,378.0,80.0,44.0,6.0,6.0,3.0,170036.0,37992.0,208028.0,Survival Stage
4.0,721 Esports,45.0,27941.0,6106.0,1981.0,799.0,4796.0,11.0,20.0,1.0,251.0,42.0,18.0,2.0,8.0,0.0,124600.0,36250.0,160850.0,Survival Stage
5.0,AlUla Club Esports,44.0,30202.0,6328.0,3143.0,1014.0,6084.0,24.0,32.0,7.0,173.0,56.0,22.0,3.0,5.0,1.0,213308.0,34765.0,248073.0,Survival Stage
6.0,Nigma Galaxy,40.0,28441.0,6124.0,3104.0,1190.0,7141.0,21.0,38.0,6.0,331.0,43.0,49.0,4.0,6.0,0.0,125137.0,38361.0,163498.0,Survival Stage
7.0,FUT Esports,40.0,25761.0,4993.0,1307.0,1034.0,6209.0,21.0,25.0,2.0,316.0,34.0,17.0,1.0,6.0,2.0,142512.0,33228.0,175740.0,Survival Stage
8.0,Loops Esports,39.0,33228.0,5475.0,2364.0,1119.0,6717.0,23.0,26.0,6.0,323.0,78.0,46.0,2.0,5.0,0.0,198477.0,36115.0,234592.0,Survival Stage
9.0,Wolves Esports,36.0,27949.0,6048.0,3658.0,1021.0,6127.0,20.0,31.0,4.0,242.0,44.0,27.0,2.0,7.0,0.0,118621.0,39449.0,158070.0,Survival Stage
10.0,The Vicious,31.0,29988.0,5252.0,2522.0,957.0,5742.0,17.0,24.0,5.0,306.0,51.0,12.0,0.0,10.0,2.0,200302.0,34282.0,234584.0,Survival Stage
11.0,IDA Esports,29.0,29588.0,6168.0,2439.0,992.0,5957.0,5.0,25.0,6.0,313.0,41.0,41.0,3.0,7.0,0.0,198258.0,35909.0,234167.0,Survival Stage
12.0,VOIN Esports,24.0,29516.0,5467.0,3016.0,671.0,4028.0,8.0,14.0,1.0,154.0,28.0,22.0,0.0,8.0,4.0,191303.0,33524.0,224827.0,Survival Stage
13.0,XForce Rejects,21.0,26122.0,5241.0,1790.0,461.0,2767.0,3.0,10.0,3.0,119.0,30.0,15.0,1.0,4.0,0.0,97586.0,33636.0,131222.0,Survival Stage
14.0,Boars Gaming,19.0,26651.0,5172.0,1923.0,582.0,3494.0,6.0,11.0,3.0,286.0,42.0,35.0,1.0,5.0,0.0,78928.0,41541.0,120469.0,Survival Stage
15.0,Trained to Kill,18.0,23076.0,5736.0,2299.0,585.0,3514.0,6.0,15.0,4.0,196.0,54.0,13.0,1.0,2.0,0.0,159481.0,30714.0,190195.0,Survival Stage
16.0,R8 Esports,12.0,25299.0,4837.0,2132.0,564.0,3386.0,9.0,15.0,2.0,235.0,49.0,29.0,0.0,2.0,0.0,212059.0,28781.0,240840.0,Survival Stage
1.0,4Thrives Esports,122.0,57120.0,12819.0,5365.0,1276.0,15315.0,41.0,71.0,16.0,321.0,162.0,90.0,14.0,17.0,0.0,288996.0,76310.0,365306.0,Grand Finals
2.0,ULF Esports,104.0,60351.0,12109.0,5662.0,1255.0,15071.0,51.0,58.0,16.0,300.0,109.0,99.0,12.0,13.0,3.0,339387.0,75024.0,414411.0,Grand Finals
3.0,FURIA,97.0,60567.0,14307.0,9428.0,1193.0,14327.0,53.0,67.0,11.0,365.0,141.0,84.0,8.0,22.0,4.0,362699.0,79926.0,442625.0,Grand Finals
4.0,S2G Esports,83.0,58415.0,12016.0,7865.0,982.0,11792.0,27.0,50.0,7.0,356.0,110.0,73.0,2.0,16.0,4.0,392030.0,72844.0,464874.0,Grand Finals
5.0,eArena,83.0,57900.0,10872.0,6208.0,912.0,10952.0,52.0,48.0,11.0,293.0,167.0,72.0,10.0,12.0,1.0,343100.0,79181.0,422281.0,Grand Finals
6.0,TT Project,77.0,55958.0,9850.0,4094.0,984.0,11811.0,31.0,54.0,10.0,375.0,100.0,58.0,5.0,11.0,2.0,331536.0,71643.0,403179.0,Grand Finals
7.0,GOAT Team,75.0,60290.0,12342.0,9110.0,1004.0,12059.0,33.0,47.0,9.0,380.0,146.0,73.0,4.0,22.0,1.0,457520.0,74460.0,531980.0,Grand Finals
8.0,Aurora Gaming,73.0,55466.0,12852.0,6236.0,1208.0,14507.0,36.0,63.0,11.0,283.0,114.0,92.0,3.0,11.0,3.0,313377.0,85091.0,398468.0,Grand Finals
9.0,BOOM Esports,71.0,57202.0,10673.0,5058.0,1080.0,12960.0,24.0,55.0,8.0,306.0,121.0,62.0,8.0,11.0,2.0,310908.0,79833.0,390741.0,Grand Finals
10.0,Team Flash,69.0,61312.0,11715.0,5075.0,963.0,11559.0,23.0,55.0,11.0,388.0,97.0,47.0,4.0,13.0,2.0,351442.0,69854.0,421296.0,Grand Finals
11.0,Gaming Stars Esports,59.0,53636.0,10614.0,4696.0,1080.0,12968.0,31.0,52.0,9.0,269.0,84.0,56.0,4.0,11.0,2.0,236975.0,77310.0,314285.0,Grand Finals
12.0,Horaa Esports,59.0,49276.0,11662.0,4099.0,1010.0,12121.0,23.0,58.0,12.0,381.0,80.0,55.0,5.0,13.0,2.0,293405.0,66211.0,359616.0,Grand Finals
13.0,Geekay Esports,54.0,55246.0,11972.0,7247.0,741.0,8896.0,20.0,36.0,6.0,301.0,74.0,79.0,1.0,13.0,2.0,313555.0,77420.0,390975.0,Grand Finals
14.0,Bigetron by Vitality,53.0,55443.0,12056.0,7481.0,880.0,10561.0,37.0,49.0,6.0,170.0,113.0,57.0,4.0,15.0,1.0,513997.0,56898.0,570895.0,Grand Finals
15.0,721 Esports,51.0,46229.0,11808.0,4117.0,812.0,9747.0,31.0,45.0,4.0,308.0,101.0,48.0,3.0,10.0,1.0,187696.0,66988.0,254684.0,Grand Finals
16.0,Team Pandum,30.0,47981.0,11354.0,4847.0,422.0,5072.0,9.0,21.0,5.0,119.0,58.0,26.0,2.0,13.0,1.0,286620.0,57655.0,344275.0,Grand Finals
