Grand Finals Statistics,,,,,,,,,,,,,,,,,,,
#,Team,"Total
Points","Survival
Time","Damage
Received","Healing
Done","Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","Max Elim
Range","Smokes
Used","Grenades
Used","Grenade
Elims","Teammates
Rescued","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,4Thrives Esports,122,"57,120","12,819","5,365","1,276","15,315",41,71,16,321,162,90,14,17,0,"288,996","76,310","365,306"
2,ULF Esports,104,"60,351","12,109","5,662","1,255","15,071",51,58,16,300,109,99,12,13,3,"339,387","75,024","414,411"
3,FURIA,97,"60,567","14,307","9,428","1,193","14,327",53,67,11,365,141,84,8,22,4,"362,699","79,926","442,625"
4,S2G Esports,83,"58,415","12,016","7,865",982,"11,792",27,50,7,356,110,73,2,16,4,"392,030","72,844","464,874"
5,eArena,83,"57,900","10,872","6,208",912,"10,952",52,48,11,293,167,72,10,12,1,"343,100","79,181","422,281"
6,TT Project,77,"55,958","9,850","4,094",984,"11,811",31,54,10,375,100,58,5,11,2,"331,536","71,643","403,179"
7,GOAT Team,75,"60,290","12,342","9,110","1,004","12,059",33,47,9,380,146,73,4,22,1,"457,520","74,460","531,980"
8,Aurora Gaming,73,"55,466","12,852","6,236","1,208","14,507",36,63,11,283,114,92,3,11,3,"313,377","85,091","398,468"
9,BOOM Esports,71,"57,202","10,673","5,058","1,080","12,960",24,55,8,306,121,62,8,11,2,"310,908","79,833","390,741"
10,Team Flash,69,"61,312","11,715","5,075",963,"11,559",23,55,11,388,97,47,4,13,2,"351,442","69,854","421,296"
11,Gaming Stars Esports,59,"53,636","10,614","4,696","1,080","12,968",31,52,9,269,84,56,4,11,2,"236,975","77,310","314,285"
12,Horaa Esports,59,"49,276","11,662","4,099","1,010","12,121",23,58,12,381,80,55,5,13,2,"293,405","66,211","359,616"
13,Geekay Esports,54,"55,246","11,972","7,247",741,"8,896",20,36,6,301,74,79,1,13,2,"313,555","77,420","390,975"
14,Bigetron by Vitality,53,"55,443","12,056","7,481",880,"10,561",37,49,6,170,113,57,4,15,1,"513,997","56,898","570,895"
15,721 Esports,51,"46,229","11,808","4,117",812,"9,747",31,45,4,308,101,48,3,10,1,"187,696","66,988","254,684"
16,Team Pandum,30,"47,981","11,354","4,847",422,"5,072",9,21,5,119,58,26,2,13,1,"286,620","57,655","344,275"
