Group Stage: Group B Statistics,,,,,,,,,,,,,,,,,,,
#,Team,"Total
Points","Survival
Time","Damage
Received","Healing
Done","Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","Max Elim
Range","Smokes
Used","Grenades
Used","Grenade
Elims","Teammates
Rescued","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,Bigetron by Vitality,82,"36,776","8,038","5,789","1,664","9,985",35,45,8,370,97,73,7,19,2,"232,609","42,918","275,527"
2,ULF Esports,62,"30,494","7,085","3,737","1,529","9,179",25,45,5,289,65,82,7,9,0,"143,634","37,016","180,650"
3,Gaming Stars Esports,60,"34,942","5,792","3,217","1,444","8,668",21,37,12,361,52,43,4,8,1,"164,544","48,794","213,338"
4,TT Project,48,"28,993","5,527","6,852","1,267","7,602",28,33,8,311,59,42,3,9,2,"197,152","37,636","234,788"
5,Geekay Esports,46,"25,882","4,692","3,244",908,"5,449",17,26,5,372,49,47,0,10,0,"145,590","32,881","178,471"
6,BOOM Esports,41,"31,424","7,065","4,637","1,229","7,375",14,31,4,366,61,49,5,8,4,"185,939","41,618","227,557"
7,Wolves Esports,36,"29,394","7,876","4,421",917,"5,506",4,22,3,279,66,39,3,17,2,"146,350","36,373","182,723"
8,XForce Rejects,33,"28,160","5,277","2,119",815,"4,894",10,21,6,295,45,19,0,3,1,"136,888","37,184","174,072"
9,The Vicious,32,"25,905","5,270","2,055",939,"5,636",12,24,4,211,45,25,3,4,0,"196,036","32,401","228,437"
10,Loops Esports,27,"31,108","5,545","1,711",939,"5,634",19,25,5,315,41,22,1,2,0,"123,270","41,892","165,162"
11,R8 Esports,26,"26,362","6,011","2,348",848,"5,089",11,26,4,287,45,26,3,6,0,"123,756","35,528","159,284"
12,FUT Esports,23,"27,890","5,202","1,653",778,"4,671",7,20,2,308,35,38,3,2,0,"175,713","36,408","212,121"
13,Nigma Galaxy,20,"29,343","5,327","3,195",828,"4,971",11,19,4,200,35,20,0,4,1,"165,678","40,426","206,104"
14,Trained to Kill,18,"26,480","4,987","1,956",552,"3,317",6,14,4,301,29,13,0,5,0,"171,678","31,164","202,842"
15,RRQ RYU,12,"20,474","4,411","1,227",571,"3,428",8,16,1,281,24,11,1,4,0,"109,204","29,078","138,282"
16,Hustler Crew,10,"28,521","5,144","1,841",368,"2,209",0,9,0,373,32,13,0,4,0,"126,087","33,711","159,798"
