Player,Team,Elims,Avg Dmg Dealt,Assists,Knocks,KD Ratio,Stage
Elberryl,BOOM Esports,6.0,308.0,5.0,8.0,1.0,Group B
4YDO,Nigma Galaxy,6.0,303.0,3.0,8.0,1.0,Group B
Devil,XForce Rejects,6.0,237.0,3.0,6.0,1.0,Group B
Shiva,XForce Rejects,6.0,222.0,3.0,5.0,1.0,Group B
Baby,XForce Rejects,6.0,222.0,2.0,4.0,1.0,Group B
Coa77,The Vicious,6.0,194.0,4.0,6.0,1.0,Group B
Rafinha,Loops Esports,5.0,304.0,6.0,5.0,0.83,Group B
Vitinn,Loops Esports,5.0,266.0,4.0,8.0,0.83,Group B
B5eT,R8 Esports,5.0,265.0,5.0,6.0,0.83,Group B
Icy,The Vicious,5.0,260.0,2.0,5.0,0.83,Group B
Scarface,ULF Esports,5.0,192.0,5.0,3.0,0.83,Group B
LORD,Nigma Galaxy,5.0,184.0,3.0,4.0,0.83,Group B
Diego,Loops Esports,5.0,176.0,4.0,7.0,0.83,Group B
Fearless,Trained to Kill,5.0,150.0,2.0,6.0,0.83,Group B
Zwolf,FUT Esports,4.0,347.0,3.0,8.0,0.67,Group B
EFFYIS,TT Project,4.0,208.0,3.0,5.0,0.67,Group B
DORIN23,The Vicious,4.0,203.0,4.0,6.0,0.67,Group B
Law,Loops Esports,4.0,192.0,5.0,5.0,0.67,Group B
Baton,Wolves Esports,4.0,184.0,1.0,5.0,0.67,Group B
Igneous,Trained to Kill,4.0,170.0,2.0,3.0,0.67,Group B
Marth,R8 Esports,4.0,168.0,3.0,5.0,0.67,Group B
RAGNARoK,Geekay Esports,4.0,156.0,4.0,4.0,0.67,Group B
Firen,RRQ RYU,4.0,142.0,2.0,6.0,0.67,Group B
SAFG,Geekay Esports,4.0,130.0,3.0,3.0,0.67,Group B
Soulless,ULF Esports,3.0,287.0,5.0,7.0,0.5,Group B
KEVIN,Geekay Esports,3.0,266.0,6.0,6.0,0.5,Group B
Okta,BOOM Esports,3.0,248.0,4.0,4.0,0.5,Group B
SaTaN,Nigma Galaxy,3.0,217.0,2.0,6.0,0.5,Group B
Sanju,BOOM Esports,3.0,206.0,2.0,4.0,0.5,Group B
Lapar,RRQ RYU,3.0,143.0,4.0,3.0,0.5,Group B
RuLzSR,Trained to Kill,3.0,135.0,1.0,2.0,0.5,Group B
Reverb,XForce Rejects,3.0,134.0,2.0,6.0,0.5,Group B
Nerpehko,RRQ RYU,3.0,131.0,2.0,5.0,0.5,Group B
