Survival Stage Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
42,REDOX,The Vicious,6,4,172,"1,037",2,4,1,0.67,291,"6,827","1,249",423,6,9,4,0,0,"46,254","7,523","53,777"
43,Amoori,R8 Esports,6,4,152,916,3,4,0,0.67,235,"6,287","1,374",638,6,8,4,0,0,"57,629","6,687","64,316"
44,ALEKO,721 Esports,6,4,149,895,2,5,0,0.67,92,"6,038","1,519",529,6,10,6,0,0,"27,742","10,040","37,782"
45,Shiva,XForce Rejects,6,4,131,787,0,3,1,0.67,119,"5,575",922,328,6,4,1,1,0,"30,280","5,831","36,111"
46,RAOUF,Nigma Galaxy,6,3,199,"1,196",2,5,1,0.5,331,"7,074","1,543",856,5,6,9,2,0,"29,922","8,738","38,660"
47,WAGNERZADA,Boars Gaming,6,3,182,"1,095",0,4,2,0.5,286,"6,806","1,109",461,6,9,10,0,0,"22,030","9,047","31,077"
48,Igneous,Trained to Kill,6,3,178,"1,071",3,4,2,0.5,86,"6,164","1,437",819,6,19,2,0,0,"46,032","8,169","54,201"
49,Reverb,XForce Rejects,6,3,169,"1,014",0,3,1,0.5,68,"7,400","1,406",526,6,16,5,0,0,"22,188","9,228","31,416"
50,Marth,R8 Esports,6,3,167,"1,002",2,5,1,0.5,164,"6,522","1,295",826,6,20,10,0,0,"51,568","7,148","58,716"
51,Darkin,IDA Esports,6,3,157,943,1,5,1,0.5,289,"6,692","1,583",485,6,16,8,1,0,"43,293","7,428","50,721"
52,Potato,VOIN Esports,6,3,144,864,4,3,1,0.5,140,"7,980","1,291",703,6,7,4,0,1,"55,862","8,027","63,889"
53,Snowix,Boars Gaming,6,3,139,839,2,2,0,0.5,91,"6,858","1,260",496,6,11,6,0,0,"18,672","12,845","31,517"
54,B5eT,R8 Esports,2,2,312,624,1,3,0,1,10,"2,116",355,149,2,6,1,0,0,"21,234","2,023","23,257"
55,Boycil,VOIN Esports,6,2,186,"1,117",1,7,0,0.33,76,"6,872","1,271",672,6,2,9,0,0,"44,112","7,416","51,528"
56,Rafinha,Loops Esports,6,2,182,"1,096",6,2,0,0.33,73,"7,490","1,174",343,6,18,7,0,0,"39,235","8,922","48,157"
57,Zeta,VOIN Esports,6,2,180,"1,082",1,2,0,0.33,154,"6,807","1,495",784,6,7,6,0,2,"48,900","8,829","57,729"
58,MOXXXYY,GOAT Team,6,2,176,"1,058",8,2,1,0.33,187,"8,419","1,344",678,5,24,13,0,0,"48,836","11,091","59,927"
59,Voxie,VOIN Esports,6,2,160,965,2,2,0,0.33,43,"7,857","1,410",857,6,12,3,0,1,"42,429","9,252","51,681"
60,Baby,XForce Rejects,6,2,106,639,0,3,1,0.33,39,"6,410","1,512",514,6,5,5,0,0,"23,067","8,490","31,557"
61,PrEStlGe,R8 Esports,6,1,95,575,2,2,0,0.17,21,"6,065","1,222",308,6,8,4,0,0,"50,995","6,963","57,958"
62,SKTON,R8 Esports,4,1,67,269,1,1,1,0.25,8,"4,309",591,211,4,7,10,0,0,"30,633","5,960","36,593"
63,Terminuz,Boars Gaming,6,1,62,376,1,0,0,0.17,31,"6,990","1,397",425,6,7,8,0,0,"17,710","9,298","27,008"
64,Devil,XForce Rejects,6,1,54,327,3,1,0,0.17,63,"6,737","1,401",422,6,5,4,0,0,"22,051","10,087","32,138"
65,SlaYer,Trained to Kill,6,0,38,228,2,0,0,0,0,"5,296","1,304",373,6,4,5,0,0,"47,056","6,201","53,257"
