Group Stage: Group B Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
41,Marth,R8 Esports,6,4,168,"1,009",3,5,0,0.67,51,"6,515","1,418",598,6,14,12,1,0,"27,300","9,427","36,727"
42,RAGNARoK,Geekay Esports,6,4,156,938,4,4,0,0.67,129,"6,331","1,180",836,5,7,13,0,0,"38,123","7,796","45,919"
43,Firen,RRQ RYU,6,4,142,852,2,6,1,0.67,281,"5,508","1,077",347,6,4,1,0,0,"29,565","7,464","37,029"
44,SAFG,Geekay Esports,6,4,130,783,3,3,1,0.67,372,"6,217",951,619,5,11,7,0,0,"33,135","7,650","40,785"
45,Soulless,ULF Esports,6,3,287,"1,722",5,7,1,0.5,94,"7,535","2,146","1,094",5,12,19,1,0,"33,281","8,969","42,250"
46,KEVIN,Geekay Esports,6,3,266,"1,596",6,6,1,0.5,168,"6,682","1,225",783,5,17,12,0,0,"39,368","8,870","48,238"
47,Okta,BOOM Esports,6,3,248,"1,489",4,4,1,0.5,102,"7,193","2,003","1,363",6,13,10,0,3,"52,661","8,052","60,713"
48,SaTaN,Nigma Galaxy,6,3,217,"1,303",2,6,1,0.5,150,"7,181","1,260",799,6,1,2,0,1,"35,542","11,764","47,306"
49,Sanju,BOOM Esports,6,3,206,"1,236",2,4,0,0.5,162,"7,823","1,370",806,6,16,4,0,0,"37,778","9,915","47,693"
50,Lapar,RRQ RYU,6,3,143,862,4,3,0,0.5,66,"5,478",998,429,6,14,4,1,0,"32,447","7,774","40,221"
51,RuLzSR,Trained to Kill,6,3,135,814,1,2,1,0.5,108,"6,892","1,393",738,6,9,0,0,0,"44,341","7,491","51,832"
52,Reverb,XForce Rejects,6,3,134,804,2,6,1,0.5,161,"5,961","1,382",489,6,8,2,0,0,"31,198","8,265","39,463"
53,Nerpehko,RRQ RYU,6,3,131,791,2,5,0,0.5,232,"4,793","1,215",272,6,1,4,0,0,"32,257","6,028","38,285"
54,RAOUF,Nigma Galaxy,6,3,123,738,3,1,0,0.5,81,"7,111","1,593",959,6,14,3,0,0,"43,275","9,204","52,479"
